date,avg_temperature
2022-06-07,14.991666666666667
2022-06-08,16.295833333333334
2022-06-09,13.691666666666668
2022-06-10,14.833333333333334
2022-06-11,17.058333333333334
2022-06-12,19.441666666666666
2022-06-13,17.6875
2022-06-14,17.375
2022-06-15,19.5125
2022-06-16,20.0125
2022-06-17,18.345833333333335
2022-06-18,21.90416666666667
2022-06-19,24.025000000000002
2022-06-20,21.745833333333334
2022-06-21,18.775000000000002
2022-06-22,18.979166666666668
2022-06-23,20.966666666666665
2022-06-24,18.912499999999998
2022-06-25,18.599999999999998
2022-06-26,20.8125
2022-06-27,21.3
2022-06-28,18.679166666666667
2022-06-29,19.150000000000002
2022-06-30,20.979166666666668
2022-07-01,15.191666666666668
2022-07-02,16.204166666666666
2022-07-03,21.462500000000002
2022-07-04,19.591666666666665
2022-07-05,19.2375
2022-07-06,18.183333333333334
2022-07-07,14.775
2022-07-08,14.066666666666668
2022-07-09,16.604166666666668
2022-07-10,15.887500000000001
2022-07-11,15.691666666666668
2022-07-12,17.466666666666665
2022-07-13,20.254166666666666
2022-07-14,23.3
2022-07-15,19.379166666666666
2022-07-16,18.566666666666666
2022-07-17,19.104166666666668
2022-07-18,20.908333333333335
2022-07-19,22.71666666666667
2022-07-20,24.9375
2022-07-21,22.47083333333333
2022-07-22,23.675
2022-07-23,21.8875
2022-07-24,22.895833333333332
2022-07-25,24.650000000000002
2022-07-26,20.508333333333333
2022-07-27,20.091666666666665
2022-07-28,20.908333333333335
2022-07-29,20.608333333333334
2022-07-30,19.079166666666666
2022-07-31,20.224999999999998
2022-08-01,21.145833333333332
2022-08-02,20.554166666666667
2022-08-03,22.891666666666666
2022-08-04,24.608333333333334
2022-08-05,24.3625
2022-08-06,18.358333333333334
2022-08-07,17.945833333333333
2022-08-08,18.474999999999998
2022-08-09,19.283333333333335
2022-08-10,19.379166666666666
2022-08-11,19.9875
2022-08-12,18.4875
2022-08-13,19.0125
2022-08-14,21.045833333333334
2022-08-15,20.045833333333334
2022-08-16,21.695833333333336
2022-08-17,23.204166666666666
2022-08-18,19.966666666666665
2022-08-19,17.970833333333335
2022-08-20,16.508333333333333
2022-08-21,18.216666666666665
2022-08-22,18.025000000000002
2022-08-23,18.270833333333332
2022-08-24,18.633333333333333
2022-08-25,19.825
2022-08-26,20.587500000000002
2022-08-27,18.095833333333335
2022-08-28,17.720833333333335
2022-08-29,18.287499999999998
2022-08-30,19.275000000000002
2022-08-31,15.991666666666667
2022-09-01,15.329166666666666
2022-09-02,15.341666666666667
2022-09-03,16.816666666666666
2022-09-04,16.983333333333334
2022-09-05,18.675
2022-09-06,19.095833333333335
2022-09-07,19.7375
2022-09-08,16.766666666666666
2022-09-09,14.633333333333333
2022-09-10,14.5625
2022-09-11,13.85
2022-09-12,14.716666666666667
2022-09-13,16.962500000000002
2022-09-14,18.870833333333334
2022-09-15,16.079166666666666
2022-09-16,11.458333333333334
2022-09-17,8.604166666666666
2022-09-18,8.629166666666666
2022-09-19,9.0
2022-09-20,8.8375
2022-09-21,8.341666666666667
2022-09-22,8.525
2022-09-23,10.525
2022-09-24,11.620833333333332
2022-09-25,11.6875
2022-09-26,11.316666666666668
2022-09-27,9.1
2022-09-28,8.0
2022-09-29,7.983333333333333
2022-09-30,9.516666666666667
2022-10-01,9.533333333333333
2022-10-02,12.104166666666666
2022-10-03,10.554166666666667
2022-10-04,9.845833333333333
2022-10-05,12.666666666666666
2022-10-06,13.183333333333332
2022-10-07,12.512500000000001
2022-10-08,12.554166666666667
2022-10-09,10.5375
2022-10-10,12.654166666666667
2022-10-11,12.491666666666667
2022-10-12,12.420833333333333
2022-10-13,11.616666666666667
2022-10-14,12.804166666666667
2022-10-15,14.070833333333333
2022-10-16,15.0875
2022-10-17,14.354166666666666
2022-10-18,13.766666666666666
2022-10-19,12.808333333333332
2022-10-20,11.950000000000001
2022-10-21,12.891666666666666
2022-10-22,12.770833333333334
2022-10-23,13.358333333333334
2022-10-24,13.008333333333333
2022-10-25,11.700000000000001
2022-10-26,12.424999999999999
2022-10-27,12.645833333333334
2022-10-28,13.820833333333333
2022-10-29,14.495833333333332
2022-10-30,14.3375
2022-10-31,12.3375
2022-11-01,11.616666666666667
2022-11-02,9.945833333333333
2022-11-03,9.033333333333333
2022-11-04,6.983333333333333
2022-11-05,6.154166666666666
2022-11-06,6.3500000000000005
2022-11-07,9.520833333333334
2022-11-08,7.291666666666667
2022-11-09,8.658333333333333
2022-11-10,9.133333333333333
2022-11-11,6.216666666666666
2022-11-12,5.641666666666667
2022-11-13,6.125
2022-11-14,6.541666666666667
2022-11-15,5.816666666666666
2022-11-16,5.6625000000000005
2022-11-17,5.779166666666666
2022-11-18,5.979166666666667
2022-11-19,5.4375
2022-11-20,4.45
2022-11-21,3.5500000000000003
2022-11-22,3.170833333333333
2022-11-23,3.920833333333333
2022-11-24,4.8999999999999995
2022-11-25,3.6875
2022-11-26,4.304166666666666
2022-11-27,1.7958333333333334
2022-11-28,2.7125
2022-11-29,3.7541666666666664
2022-11-30,1.95
2022-12-01,1.9666666666666668
2022-12-02,1.25
2022-12-03,0.6791666666666667
2022-12-04,1.5416666666666667
2022-12-05,1.3916666666666666
2022-12-06,1.4291666666666665
2022-12-07,0.8208333333333333
2022-12-08,0.15
2022-12-09,-0.525
2022-12-10,-0.4375
2022-12-11,-4.595833333333333
2022-12-12,-5.516666666666667
2022-12-13,-8.266666666666667
2022-12-14,-1.2708333333333333
2022-12-15,-1.0333333333333334
2022-12-16,-1.7125000000000001
2022-12-17,-6.6000000000000005
2022-12-18,-7.833333333333333
2022-12-19,-1.6791666666666665
2022-12-20,0.09166666666666663
2022-12-21,2.3875
2022-12-22,5.3374999999999995
2022-12-23,8.304166666666667
2022-12-24,7.558333333333334
2022-12-25,6.520833333333333
2022-12-26,6.816666666666666
2022-12-27,3.4291666666666667
2022-12-28,1.7083333333333333
2022-12-29,4.125
2022-12-30,5.7875000000000005
2022-12-31,10.304166666666667
2023-01-01,7.070833333333333
2023-01-02,6.954166666666667
2023-01-03,5.458333333333333
2023-01-04,5.366666666666666
2023-01-05,8.745833333333334
2023-01-06,6.445833333333333
2023-01-07,3.8791666666666664
2023-01-08,1.9916666666666665
2023-01-09,3.483333333333333
2023-01-10,1.5666666666666667
2023-01-11,5.675
2023-01-12,5.429166666666667
2023-01-13,5.854166666666667
2023-01-14,4.983333333333333
2023-01-15,4.1000000000000005
2023-01-16,1.3666666666666665
2023-01-17,0.9958333333333332
2023-01-18,-0.05000000000000002
2023-01-19,-1.3166666666666667
2023-01-20,-1.5166666666666666
2023-01-21,-2.591666666666667
2023-01-22,-2.558333333333333
2023-01-23,-1.7333333333333334
2023-01-24,0.8666666666666667
2023-01-25,0.15
2023-01-26,-1.1166666666666667
2023-01-27,-1.7083333333333333
2023-01-28,-1.7625
2023-01-29,-1.7
2023-01-30,-0.7083333333333334
